review,sentiment
even though first film broken lizard group last one saw mildly enjoyed super trooper managed sit crap club dred beerfest surprised hear earlier film sit high hope hoping funny campus romp friend asked keep mind younger obviously first foray film still disappointed taking away acting comedy skill bl guy ok whole film tiresome clichéd frankly boring actor film really poor acting rugby game even resemble rugby poor showing improved drastically super trooper declined since let hope get back form super trooper,0
dolph lundgren star former cop boxer search boston kinky scene find killed brother well thought community however along way learns brother enjoyed kinky sex serial killer blame dolph lundgren good movie fact basis performance one would forget lundgren rise fame involved action role said material give lundgren nothing work fact lundgren completely left dry dreary thriller predictable incomprehensible co star danielle brett also good fact film work best center around chemistry lundgren brett indeed film taken time explore relationship film would fairly decent however movie lackluster action non existent plot given enough exploration much boring b around lundgren investigation brother employer film needlessly gory ridiculous lundgren actually really good newcomer danielle brett film lumber one sequence next make movie particularly disappointing anything else though show underrated lundgren actor br br poor,0
brought philip larkin life way worthy greatest performance time one measured popularity show stark portrayal larkins life greatest unrecognized poet era exactly would wanted disdain canker medallion dramatically expose raw beauty intense sadness philip observation relationship mortality lay way seems missed even great philosopher anyone interested profound observation relationship life love death must,1
saw trailer film watching titanic must admit whetted appetite volcano seemed quite spectacular full promise damp squib corny word script characterization often ludicrous stupid daughter beyond belief supposed scientist fireman peripheral character offer movie rank front cruise ii twister film completely appalling reasonable effect overall waste time,0
epitome bad film making unless pre pubescent girl riding big name like madonna story line physically assault one intelligence humour suited nursery school ever doubt think turd movie clearly display madonna absolute lack acting talent made feel highly embarrassed behalf thing believe ever let director near another movie madonna spends movie prancing around like infantile rag doll talking like baby painfully obvious reason movie ever made due fact madonna big name pop music time duped seeing awful attempt cash pop stardom stay away cost,0
hard believe awful reality show past year one take top spot worst one yet still wondering actually spoof done sctv gang andy kaufmann still alive sure behind rock band stoop lower inxs shameful thing premise simple moronic audition bunch karaoke reject become new lead singer inxs take place michael hutchence committed suicide eight year hit later band commit ultimate act patheticness subjecting auditioning bunch talentless wannabe new lead singer band year past prime trot awful singer thought american idol share doozies atrocious rendition every classic predictable rock song imaginable cut inxs band member seriously discussing merit candidate could see better original rock performer night club city world br br usual uncreative element every reality show lame reality participant lame interview lame host emcee lame judging performance lame booting one participant end show show get predictable clearly publicity stunt part band last gasp hope rekindling lost stardom finally buried oblivion michael hutchence shred dignity alive rolling grave inxs ever great band idea pathetic inxs representative rock roll become show would final proof rock roll dead,0
seen movie twice time cinemax first time unrated version soft core porn best second time trimmed cut sex nudity version entertaining typical beach movie sort way unrated version tremendous sex scene nikki fritz dude bottle oil world pun intended unfortunately trimmed version scene almost completely chopped sex scene rated unrated still fun watch sibling bigger star stallone sheen travolta etc trying act also get appearance b queen linnea quigley burt ward robin old batman series,1
apartmente l one interesting movie ever seen experienced extreme frustration watching movie gunning two lead reunite never happened end disappointed end ending lends even cynical touch generally cynical movie movie people likely rewatch one watch deep impact people rewatched movie think br br story follows experience man max engaged married muriel remembers old girlfriend lisa considers love life listens accident lisa talking telephone thus try find lisa start extremely frustrating search lisa many layer movie undercurrent jealousy vouyeurism also another character called alice involved whole confusion movie move whole range twist finally lead ending could interpreted many way fascinating movie four main character clever writing make interesting unique love fact movie obsession jealousy done light hearted manner fast pace probably reason appeal large audience main character max shade grey felt ending perfect think supposed clean character considering fact searching long lost love engaged also fling alice br br character alice even worse manipulation compulsive lying really irritate viewer point guess scene break front lucien really show another facet character show side want accepted tired lying game want lead normal life end understands need get away ending lends cynical touch seems max love alice temporary fake say love general temporary emotion better choose safe option e muriel pursue something fleeting e lisa alice many way really romantic movie satire romance way br br performance deserve high praise vincent cassel max give great performance perfectly portrays confusion man really sure engagement geeky look added advantage fit character perfectly real star movie romane bohringer alice nuanced portrayal woman jealous alice love max scene scream nutcase really show desperation yearning live normal life man love br br btw also thought lesbianism another interpretation drawn movie alice action explained many way unreasonable obsession lisa may also explained manifestation lesbian desire may far fetched considering encourages lisa forgive current boyfriend got feeling lesbian long time also avoids question lisa regarding boyfriend spends whole lot time lisa happy time may lead many question sexual orientation br br overall would give think deserves subtracted one rewatchability factor think perfect movie otherwise,1
second beginning title explains show u beginning end human race set long matrix existed short anime written wachowski show u world could lay infront u distant future set turn st century second renaissance delf issue common human behaviour greed power control vanity etc br br use robot artificial intellegence slave servents common among science fiction fantasy story second renaissance exeption concept however instead simple man v machine layout story explains struggle machine put struggle acceptance world ruled human matrix film show u human perspective short animation tell side story br br second renaissance part answer many question brought original matrix film war broke sky blackend led use human battery also introduces u machine city called may relevance upcoming matrix revolution film br br give away much story want ruin experience perspective viewer however recommend anybody interested world matrix simply anybody interested japanese animation anime br br,1
bad guy called judge jerk even nominally sensitive one self congratulatory tone really make sick though guy perspective behaviour think real problem though quality contestant single smooth truly charming one lot pick pathetic girl crowd one guy chance let see real player trying truly unattainable girl maybe show otherwise revolting half hour self love real sexual tension take two,0
saw movie thursday night really boring day expectation rather negative movie ever watched jimmy american version taxi queen latifah ask seriously movie cute drew barrymore always sweet almost fell love fallon character meet cute nerd like movie like excellent simple sweet necessary sunday thursday even sport fan something american movie baseball fascinates probably fact sport norway br br first comment ever haha,1
production insult stooge especially moe inaccurate poorly acted many event depicted happen way much left skipped read book written moe daughter joan instead waste time,0
along fernando fragata joão mário grilo abi feijó leonel vieira étc commercial director diamantino costa one best portuguese director lampião da estrela diamantino costa first movie made several successful commercial title starred one best portuguese comedian time herman josé josé pedro gomes great funny movie br br boa sorte diamantino,1
lonely depressed french boy mathieu jeremie elkaim vacation summer meet fall love cedric gorgeous stephane rideau quiet slow frustrating movie one hand absorbed really felt two boy getting annoyed film constantly keep flashing around past present rhyme reason confusing pointless br br spoiler ahead br br also ton plot hole mathieu one point something end hospital never told break cedric tell everybody else living told hook inexplicably another guy end explanation clear cedric love mathieu mathieu living town however tribute film really care character much thing explained br br elkaim mathieu good tall handsome nice body act idea acting sitting around blank look face time rideau hand great handsome nice body one hell actor also incredible sexual magnetism full frontal male nudity lot kissing fairly explicit sex scene movie great movie shy away showing male male love scene one help see character care feel br br frustrating film somewhat worth seeing especially rideau nude scene like good looking nude young men br br,1
well movie actually one redeeming quality made funniest season one episode mstk wish rhino released one instead crawling hand,0
men love police movie filled action shooting chase etcetera br br boy let watching short unsatisfying movie seen hostage bank surrounding yet bad guy shoot multiple officer innocent people simply stay line fire without getting hit due kevlar br br shot hundred shot going back bank dumb hostage lock safe door bad guy went stupid director think br br okay shot fake documentary good seeing film got thought police get decent shooting course many cop swat real long break truly bad,0
one best moodiest vampire tale ever love movie really character great even location story indeed picture big budget production absolutely worth seeing br br ok fault especially name castle location movie mistake typically almost every horror movie br br scenery fit perfect story close reality say honest visit romania vacation br br opinion best part subspecies series,1
susan slept turned dick powell swan song performer big screen course directed film appeared frequently television died pity go performance bad beautiful br br frank tashlin done many better film still sure whatever possessed one premise absolutely laughable br br dick powell screenwriter looking serious stuff fluff writing idea film juvenile delinquency two friendly cop herb vigran horace mcmahon deposit year old debbie reynolds doorstep really bad kid want put system give dick powell christmas time br br mean anyone see problem term jailbait come immediately mind additionally powell girlfriend young sexy anne francis debbie reynolds competition beyond br br susan slept got one oscar nomination song hold hand sung cornell background nominated best song lost secret love br br powell reynolds funny moment together alvy moore powell factotum le tremayne lawyer also get laugh br br enough,0
secret service agent jay killion charles bronson assigned protect president elect wife new first lady jill ireland difficult woman killion hand full victim numerous assassination attempt directed president chief staff want first lady dead movie insult intelligence story line also lack realistic location example scene depicting inaugural parade first lady roll royce convertible agent killion without president also know washington dc like weather wise january everybody top coat le even see palm tree degree sunny weather obviously filmed hollywood washington dc movie joke worth time,0
got subjected pile one wednesday afternoon mother law watching get someone basically remake crappy high budget hollywood flop core washed actor like luke perry high budget one flopped make people think movie year later budget would go anywhere laughing movie insanely similar fact shocked held legal rather airing tv basically script core redone badly seen core know worse funny since core already bad funny br br enjoy getting laugh really bad movie one right alley thing say wish luke perry able career horrible actor land horrible role crappy made tv movie run daytime television pretty much one step closer end would career,0
people think expressionist cinema look b w german film silent early sound era film emphasized canted angle extreme contrast light dark exaggerated performance occasional us surrealism create dreamlike atmosphere order diverge traditional naturalistic mode cinematic representation willing accept german filmmaker create expressionist cinema mentioned characteristic prerequisite expressionist film would argue dodes ka den dkd prime example type film br br like dream dkd little unhinged kurosawa film dabbling unreal however dkd also unlike dream great film probably favorite kurosawa picture mostly think color believe kurosawa first color film man saturates movie vibrant primary color creating completely unreal contemporary japan used neon light gleaming tokyo skyscraper used city appears colored crayon br br dkd said peculiar film inasmuch many character live junkyard appearing live alternate universe think point tokyo outsider people left behind great move forward following world war ii film also represents one kurosawa heartfelt movie genuine sentiment genuine pathos boy father describes dream home amazingly moving film man better known stunning john ford like vista samurai everyone known kurosawa movie touching thought provoking ikiru foreshadows emotional resonance film many way br br also argue last kurosawa greatest achievement samurai film though capable picture pale comparison work kobayashi hara kiri greatest intelligent samurai film committed celluloid rashomon hidden fortress seven samurai yojimbo sanjuro kagemusha ran fine film merely good frankly think word generous hidden fortress kagemusha dkd great movie ikiru crown jewel show akira one trick samurai pony reveal artistry mastery cinema,1
think time seagal go quietly night seen make direct video release last year look like early smash hit comparison br br secret bio lab making new kind drug jack human adrenaline system point become psychopathic killer something somehow seagal supposed stop infection end world something seagal also went hit squad like jellybeans every time look commanding new face kinda got hard follow character development well know steven athsma prevent yelling top lung even constantly dubbed people sound nothing like usually film plot action sequence save total waste time even close like said horror movie lot blood shank stabbing rather straight fighting problem really scary seagal looked completely place infected people supposed speed light movement yet year old lb seagal killed singlehandedly guess lone highlight movie first minute new recruit ask seagal come strip club br br,0
viva variety unique hybrid program parody tribute program represented br br directly mock classic favorite sonny cher show thomas lennon kerri kenney playing divorced show biz couple somehow forced host program together female pair towering male constant barrage insult humor couple tossed plus sketch comedy bit performance kindly described specialty act br br hybrid mix fact fantasy course mr former mr laupin program announcer johnny bluejeans likewise equally fictional act performed certainly real even entertaining also act would clearly better suited old chuck barris gong show br br show really like extended sketch sctv borne mtv series state would suggest would better five minute bit mix program like one rather stand alone series viva variety certainly get high mark original concept even though often odd funny certainly worthwhile especially road tripped la vega brought even glitzier act perform unlikely ever see anything like television,1
man named jerry come possession ancient aztec doll however creepy little figure possessed evil spirit take jerry body push spill blood seen two horror movie dorm dripped blood kindred made stephen carpenter jeffrey obrow must say power disappoint either plot slow moving effective human goo effect little bit gore scene female tabloid reporter attacked arm come ripping mattress hoot liked low budget horror movie horror genre,1
jean seduces young gardener sole purpose annoying husband little realise explosive drama follow br br short scenario waste word frame brief interlude day dysfunctional family life father mother son linked way gardener fact make script intriguing br br short film production every bit professional major work casting ideal br br wonderful little film guarantee laugh beginning end,1
sat watching episode kept glancing clock waiting something happen hour wound thought really going give u big pop end nothing whole family huddled around christmas tree like something hallmark channel fade black br br perhaps one poorest season finale ever seen nothing drum excitement next season thing thrown sort incentive watch next season ambiguous nugget offered agent harris pawing sub sandwich guy new york looking get one guy new jersey wow really would never expect something like mobster edge seat br br almost seems like trying get everyone lose interest start plot line end disappearing show ever seen tease hint rarely deliver br br arab hang bing keep throwing front u magically nothing happens br br paulie knee cap kid tony promised mother nothing would happen son poof gone wind br br many meandering drug montage christopher going endure please get arrested overdose something interesting br br one show used looked forward watching forgetta bout,0
mmmm previous summary say like alien predator enjoy film could disagree film pay respect weighty lineage reduced two best loved sci fi strand little teen horror slasher movie none tension foreboding present previous alien predator movie discernible lead character really care character positively yearned see stereotypical cast die soon possible vain hope something better would replace really take super human incompetence two fearsome creature ever invented positively fail make gripping thrilling movie watch want see,0
blonde blonder pamela anderson denise richards almost every scene want movie utterly unreasonable feel like late era carry series longer blazing trail still funny think behind england far mark pamela denise bubbly charming clearly aware masterpiece making although give lot thing told like supporting cast energetic even particularly good see couple duff turn movie already practically forgotten making much difference anything smile really think blonde blonder ace hope hate,1
columbo episode one better perhaps one personal favorite cast includes rosemary baby john cassavetes maestro wife played blythe danner gwyneth paltrow mom mother law played myrna loy one america greatest leading actress film time anyway disagree anybody criticizes film episode one favorite excellent cast superb job performing love watching columbo beloved dog never name series time episode focus classical music hollywood bowl one l attraction course columbo becomes interested classical music anything else involving crime,1
insulted movie even funny thought mulan unbelievable however low expectation disney become never figured something stereotypical yet respect true chinese culture hollywood tradition random martial art br br appreciate tried make wendy normal teenage girl fortunately normal teenage girl particularly asian teenage girl much le obsessed shallow aspect life cultural stand point almost impossible yes girl wrapped popularity fashion pretty rare even one still fairly decent scholar another stereotype maybe fairly true one chinese parent work chinese value work wanted go authenticity would made wendy ironic girl glass love hate relationship family br br add frustration american movie asian culture meditation vague nature oriented phrase sound wise walk around smiling enigmatically time know form martial art people appreciate someone would write asian part portray u sad caricature,0
like early masterpiece elephant man lynch prof detractor tell straight simple story without losing artistic touch true story elderly retired man expertly played richard farnsworth decides ride tractor across state pay final visit estranged brother stand death door beautiful score badalamenti exquisite photography rural life love aerial corn field shot sly director hand reveals man basic humanity beautiful slice life film extremely slow pace may lull viewer sleep stay along ride well rewarded end,1
waaaaay much frustrating watch waiting whole damn movie end finally get answer end nothing huuuge neon sign question mark head seen bad acting nonsense movie long long time bothering come someone actor read script bull movie say ok let film horrible movie suuuuuuuuuuuucks believe spent hour half life something like,0
started good sketch comedy first show good looking forward long run really funny mariah carey imitation take beverly hill featuring hair fight delta burke v william conrad heavy weight battle also good unfortunately following show went downhill relatively quickly writing became uninspired oh predictable show acquired cult following young tenure nothing fresh offered recurring skit boring one example gun family whatever called became weekly feature sketch funny begin let alone regular feature example quick promising start sudden fall,0
think brilliant australian comedy think skit show although quite partial bit full frontal even sitcom think satire something australian really know well eg front line micallef program know take pi chaser war everything classic example really well br br huge fan chris taylor craig reucassel long time remember listening triple j afternoon show remain two funniest comedian around br br although sad left triple j excited find investing much time made leave cnnnn triple j time figured something much bigger amazingly hilarious show chaser biting political social satire best br br also pleased say recently received much better time slot friday night moved wednesday night right spick speck thank abc finally tape,1
love comic although problem fully understanding story  visual style unique dirt dust decay thought knew surprisingly understood main plot  extremely poorly decision made visual style br br mean really bad looking cg human actor close ups work horus egyption god successfully made cg close comic version br br think real actor movie could cult movie br br shame,0
hmmm yeah episode extremely underrated br br even though lot bad writing acting part think good win bad br br love origami part big twist end absolutely love scene michelle confronts tony actually one favorite scene season br br reason people always hated reincarnation episode yet always liked best term writing theme really interest br br gonna give three star writing little consistent give four,1
know extraordinary film never made available officially dvd anthony quinn performance alone make must see relatively film actor identifies profoundly character phenomenon always unique u moviegoer br br quinn powerful portrayal innocent romanian literally dragged house everyday life force cannot comprehend part make film great script based book published paris romanian priest fled communist take country film succeeds go deep little known area east european history told succession kafka esquire twist fate misadventure johann moritz told openly honestly without political correctness currently precious hollywood fact eulogy lost innocence romanian people devilishly ironic eulogy signed french director working american money italian producer overseeing multinational cast fronted extraordinary mexican born thespian br br seen mention vcds film various asian internet store fortunate take possession digital recording film broadcast british version tcm shame th hour anywhere future dvd release map mgm studio,1
would like known often rate movie originally excited see movie numerous trailer bump tv several month made reaally want see movie night saw available fearnet demand got popcorn sat watch film br br storyline seemed intriguing enough dude butchering unsuspecting people subway photographer obsessed missing people going happening one day photographer see connection photo taken becomes obsessed butcher following around yada yada film way sucking even though plot highly predictable oh dark look behind say quite bored cheap thrill br br plot even though predictable intriguing end good end got silly say jack skellington freke message board fully agree come spoiler br br see hoping mad killer psychotic person obsessed cannibalism secret society keeping creature alive century woo original unrealistic dull br br come lionsgate amazing film one sunk,0
wasted minute life turkey gave main character completely clueless astoundingly unsympathetic humor blundering soon arrives germany screenwriter pull old one room hotel share room pretty girl stunt come least could let develop relationship bit first watch happened one night see right thousand movie since br br acting consistently third rate improvised dialogue left cutting room floor meander plan despite fact film telegraph relationship destination moment greta introduced br br first song boardroom mildly funny badly sung rest song well fair heard first half hour pointless awful singer painfully tune intentionally humorous sort way,0
steven seagal appears sleepwalking dreadful movie shot almost entirely close disguise complete lack budget resource pick technical flaw silver f f take carrier air strike miraculously become camouflaged f actual strike would give movie credibility deserves suffice say interesting thing movie credit title fade disappear lightning wipe presumably available user final cut pro putting creativity credit put michael keusch category marcel mandu,0
shot vancouver mountain low country south carolina visible background heaven sake reset location coastal mountain south carolina period br br lame visuals beautiful story limped along br br really understand hit book although admit one read yet usually read book give film miss nothing movie made want buy book even borrow library br br verdict mermaid chair seemed pretty shallow moi,0
saw insomniac nightmare long ago first time say really found quite good fan dominic monaghan love hole movie take place inside mind acting everyone else little rushed shaky scene could cut work end extra dvd great film greater dom fan ton candid moment set outtake great interview director anyone gone making independent film love watch te director dom everyone else small close personal set try bang little trippy creepy film pretty enjoyable glad collection,1
read lot people disappointed film compared part initially could understand bit thought think wrong soderbergh continues fact based telling che life started part part told story revolution moving unpromising beginning ultimately successful conclusion part tell story revolution move unpromising beginning completely unsuccessful conclusion soderbergh fault part che life completely different outcome bravely chooses tell fairly straightforward way viewer may feel lot better coming cinema part part reality che life opinion fault director film far perfect probably long least part saw different aspect war guerrilla success part catch break see number constantly reduced death capture che capture death dealt well film greatly enhanced dialogue spanish benicio del toro excellent charismatic argentinian seen part see similar telling different story part,1
swedish splatter movie world gone insane br br probably still common sight day swedish gore flick b movie business sweden seems trouble day long gone golden day rymdinvasion lappland movie seems trouble much talk still manages somewhat amusing mainly good fx great b movie script acting still pretty bad though actually matter much supposed gore flick nothing go bit wrong reason simply enough blood fill void br br every person know gert fylking good laugh role sgt though nearly laughed as really hilariously bad br br besides good part listed really nothing else recommend unless starved swedish b movie br br,0
basil rathbone nigel bruce sherlock holmes dr watson respectively second universal series established mean written prologue famed detective legendary span time help comfortably set thing present era early br br offering holmes go different disguise rathbone prominent feature likely people really recognize true identity protects physicist hand nazi well holmes greatest nemesis professor moriarty played lionel atwill scientist developed bomb sight greatly aid aerial bombardment promised plan british moriarty want get hold sell nazi br br good entry boosted bit participation properly villainous atwill cast moriarty though george zucco slouch adventure sherlock holmes always intriguing watching holmes greatest enemy engaging witty banter together needle last eh holmes,1
sorry see rated low many people series started good first season good br br people tend forget beginning something look end good look total end result sad lot usual character died damn lot nice new character br br please attach character attach series plot please understand like boone died augur died well need done imagine everyone keep living whole series lot danger time come face die would invincible way always keep tension survive die realize people attach self character favorite character augur one could get every computer wanted one mysterious could thing computer one else could br br wish make one statement people vote negative series started good deserve low rating look final season instead total see good series started see much enjoyed,1
